Date,Time,Location
10/1/2022,0:00:00,Cilandak Timur
10/1/2022,1:00:00,Cilandak Timur
10/1/2022,2:00:00,Cilandak Timur
10/1/2022,3:00:00,Cilandak Timur
10/1/2022,4:00:00,Cilandak Timur
10/1/2022,5:00:00,Cilandak Timur
10/1/2022,6:00:00,Cilandak Timur
10/1/2022,7:00:00,Cilandak Timur
10/1/2022,8:00:00,Pejaten Timur
10/1/2022,9:00:00,Pejaten Timur
10/1/2022,10:00:00,Pejaten Timur
10/1/2022,11:00:00,Pejaten Timur
10/1/2022,12:00:00,Pejaten Timur
10/1/2022,13:00:00,Pejaten Timur
10/1/2022,14:00:00,Pejaten Timur
10/1/2022,15:00:00,Pejaten Timur
10/1/2022,16:00:00,Ragunan
10/1/2022,17:00:00,Ragunan
10/1/2022,18:00:00,Cilandak Timur
10/1/2022,19:00:00,Cilandak Timur
10/1/2022,20:00:00,Cilandak Timur
10/1/2022,21:00:00,Cilandak Timur
10/1/2022,22:00:00,Cilandak Timur
10/1/2022,23:00:00,Cilandak Timur
11/1/2022,0:00:00,Cilandak Timur
11/1/2022,1:00:00,Cilandak Timur
11/1/2022,2:00:00,Cilandak Timur
11/1/2022,3:00:00,Cilandak Timur
11/1/2022,4:00:00,Cilandak Timur
11/1/2022,5:00:00,Cilandak Timur
11/1/2022,6:00:00,Cilandak Timur
11/1/2022,7:00:00,Cilandak Timur
11/1/2022,8:00:00,Pejaten Timur
11/1/2022,9:00:00,Pejaten Timur
11/1/2022,10:00:00,Pejaten Timur
11/1/2022,11:00:00,Pejaten Timur
11/1/2022,12:00:00,Pejaten Timur
11/1/2022,13:00:00,Pejaten Timur
11/1/2022,14:00:00,Pejaten Timur
11/1/2022,15:00:00,Pejaten Timur
11/1/2022,16:00:00,Ragunan
11/1/2022,17:00:00,Ragunan
11/1/2022,18:00:00,Cilandak Timur
11/1/2022,19:00:00,Cilandak Timur
11/1/2022,20:00:00,Cilandak Timur
11/1/2022,21:00:00,Cilandak Timur
11/1/2022,22:00:00,Cilandak Timur
11/1/2022,23:00:00,Cilandak Timur
12/1/2022,0:00:00,Cilandak Timur
12/1/2022,1:00:00,Cilandak Timur
12/1/2022,2:00:00,Cilandak Timur
12/1/2022,3:00:00,Cilandak Timur
12/1/2022,4:00:00,Cilandak Timur
12/1/2022,5:00:00,Cilandak Timur
12/1/2022,6:00:00,Cilandak Timur
12/1/2022,7:00:00,Cilandak Timur
12/1/2022,8:00:00,Pejaten Timur
12/1/2022,9:00:00,Pejaten Timur
12/1/2022,10:00:00,Pejaten Timur
12/1/2022,11:00:00,Pejaten Timur
12/1/2022,12:00:00,Pejaten Timur
12/1/2022,13:00:00,Pejaten Timur
12/1/2022,14:00:00,Pejaten Timur
12/1/2022,15:00:00,Pejaten Timur
12/1/2022,16:00:00,Ragunan
12/1/2022,17:00:00,Ragunan
12/1/2022,18:00:00,Cilandak Timur
12/1/2022,19:00:00,Cilandak Timur
12/1/2022,20:00:00,Cilandak Timur
12/1/2022,21:00:00,Cilandak Timur
12/1/2022,22:00:00,Cilandak Timur
12/1/2022,23:00:00,Cilandak Timur
13/1/2022,0:00:00,Cilandak Timur
13/1/2022,1:00:00,Cilandak Timur
13/1/2022,2:00:00,Cilandak Timur
13/1/2022,3:00:00,Cilandak Timur
13/1/2022,4:00:00,Cilandak Timur
13/1/2022,5:00:00,Cilandak Timur
13/1/2022,6:00:00,Cilandak Timur
13/1/2022,7:00:00,Cilandak Timur
13/1/2022,8:00:00,Pejaten Timur
13/1/2022,9:00:00,Pejaten Timur
13/1/2022,10:00:00,Pejaten Timur
13/1/2022,11:00:00,Pejaten Timur
13/1/2022,12:00:00,Pejaten Timur
13/1/2022,13:00:00,Pejaten Timur
13/1/2022,14:00:00,Pejaten Timur
13/1/2022,15:00:00,Pejaten Timur
13/1/2022,16:00:00,Ragunan
13/1/2022,17:00:00,Ragunan
13/1/2022,18:00:00,Cilandak Timur
13/1/2022,19:00:00,Cilandak Timur
13/1/2022,20:00:00,Cilandak Timur
13/1/2022,21:00:00,Cilandak Timur
13/1/2022,22:00:00,Cilandak Timur
13/1/2022,23:00:00,Cilandak Timur
14/1/2022,0:00:00,Cilandak Timur
14/1/2022,1:00:00,Cilandak Timur
14/1/2022,2:00:00,Cilandak Timur
14/1/2022,3:00:00,Cilandak Timur
14/1/2022,4:00:00,Cilandak Timur
14/1/2022,5:00:00,Cilandak Timur
14/1/2022,6:00:00,Cilandak Timur
14/1/2022,7:00:00,Cilandak Timur
14/1/2022,8:00:00,Pejaten Timur
14/1/2022,9:00:00,Pejaten Timur
14/1/2022,10:00:00,Pejaten Timur
14/1/2022,11:00:00,Pejaten Timur
14/1/2022,12:00:00,Pejaten Timur
14/1/2022,13:00:00,Pejaten Timur
14/1/2022,14:00:00,Pejaten Timur
14/1/2022,15:00:00,Pejaten Timur
14/1/2022,16:00:00,Ragunan
14/1/2022,17:00:00,Ragunan
14/1/2022,18:00:00,Cilandak Timur
14/1/2022,19:00:00,Cilandak Timur
14/1/2022,20:00:00,Cilandak Timur
14/1/2022,21:00:00,Cilandak Timur
14/1/2022,22:00:00,Cilandak Timur
14/1/2022,23:00:00,Cilandak Timur
15/1/2022,0:00:00,Cilandak Timur
15/1/2022,1:00:00,Cilandak Timur
15/1/2022,2:00:00,Cilandak Timur
15/1/2022,3:00:00,Cilandak Timur
15/1/2022,4:00:00,Cilandak Timur
15/1/2022,5:00:00,Cilandak Timur
15/1/2022,6:00:00,Cilandak Timur
15/1/2022,7:00:00,Cilandak Timur
15/1/2022,8:00:00,Pondok Labu
15/1/2022,9:00:00,Pondok Labu
15/1/2022,10:00:00,Pondok Labu
15/1/2022,11:00:00,Pondok Labu
15/1/2022,12:00:00,Pondok Labu
15/1/2022,13:00:00,Pondok Labu
